ra,dec,parallax,G,BP_RP
105.1288496342541,56.28508091629545,0.4223940646665709,16.630827,0.9984799999999971
98.88068037543482,59.417614548969006,0.021057797315244924,16.017555,1.1902219999999986
101.96714405235878,60.40048585469052,0.29810065619250886,16.58204,0.8731329999999993
96.6739031361495,59.993367305027746,1.806702170912948,16.880568,1.918070000000002
94.13853031384934,62.05111009344105,0.514287970369163,16.171453,1.0207440000000023
92.80090442217096,63.29008682120327,1.0120471815002476,16.413845,1.4611729999999987
32.498412564874,23.228800805501717,0.2167041529382263,16.95089,0.8597110000000008
130.7898546902719,47.317708666258284,2.5378564449381424,16.382488,2.182747000000001
144.90510706703895,51.76383007297462,4.274613305443614,16.256493,2.5248810000000006
142.05911433042246,54.66596572244043,0.4685860036191973,16.697681,0.879567999999999
130.89463445314925,51.73481556228308,1.9138713145357962,16.48938,1.669399000000002
125.2759374661286,52.32525536450033,0.33221534928545726,16.673275,0.8220829999999992
128.69170598839645,58.31872098817093,0.6799358864477699,16.534435,1.311770000000001
141.87851005964808,60.45970396594927,0.6586125758150178,16.047499,0.8648229999999977
31.368270624301672,24.630539381651904,0.7115289703734752,16.027666,0.995511500000001
157.33294417007107,59.26329962718601,0.7503416759429551,16.001,0.9130289999999999
156.7760269320104,63.33989175540253,2.610651593980141,16.800592,2.1761429999999997
177.61544941948688,68.00019107472022,2.0528273680900924,16.20823,1.8299339999999997
173.96169187538348,70.50826890878022,0.2377623802854065,16.887342,0.7253860000000003
151.29308133297795,67.51851556573199,0.6405262231410452,16.847565,1.1999770000000005
148.41126826914459,70.55902160701243,0.7863300520593243,16.81719,1.3504830000000005
167.81948226768404,72.34999305658901,1.0668625969386307,16.158531,1.1411729999999984
164.312785038912,75.29653870374155,1.2879920550718469,16.407482,1.3601069999999993
123.02355537310036,57.82119721594877,0.8789507450540569,16.656342,1.3037489999999998
115.046633674529,58.99871034790675,0.2723959925383667,16.781971,0.7484590000000004
114.61683107233483,62.56481746878355,0.35719230539159086,16.156715,0.8197269999999985
127.19846553111809,62.73226409305706,1.0894555883917691,16.971043,1.6271769999999997
129.24704472059446,67.78754448137641,2.4069153072301805,16.782913,1.9246979999999994
122.60526286317507,68.09414428292973,0.8997460705699715,16.580114,1.1761419999999987
106.01140971247702,62.89493177824004,0.4849943415168331,16.305696,1.2461739999999981
107.86869914754128,65.44857716337798,0.5227975205273669,16.938328,0.9450019999999988
103.86701634660986,69.02548928591371,-0.6734940594268247,16.413456,0.9320270000000015
90.41825816905674,66.6128902062031,0.9395750116657399,16.621084,1.4392219999999991
96.70536054824541,69.47005873222167,0.32719833031393647,16.055916,0.7901100000000003
112.40074820719023,68.1034940162109,0.6072986505499504,16.121367,0.9870400000000004
116.51790051948547,72.0070090395587,0.8182091018273873,16.309265,1.1114099999999993
108.57555467581659,74.30521740470691,0.3830017926265478,16.927507,0.9830609999999993
95.44956253186989,74.07304304697702,0.2677827610972515,16.238253,0.896586000000001
46.59107975489609,24.554637634349127,1.2060278310503076,16.099209,1.4641289999999998
146.53266799752956,72.1716154943687,0.8447488569604643,16.235413,1.193816
122.0522765864965,72.46434641537014,0.015333570277416296,16.786268,0.1214519999999979
134.5877840201527,77.05296702128234,0.2677790408118497,16.628553,0.8126770000000008
170.54785440930647,79.36526586136341,0.9516085470886477,16.955154,1.669248999999997
158.54846476516775,78.72783150918386,0.9688393720476011,16.978241,1.426206999999998
122.10397259985483,76.03460225353702,0.13621934528382382,16.618105,0.9947009999999992
134.45942995454263,78.28647260983001,0.13865428961264567,16.61689,1.0424429999999987
105.74805368778809,78.66847744772986,0.6978827880863181,16.85867,1.0996120000000005
116.37131140512815,81.58718593531438,0.6006784225567128,16.363842,1.039057999999999
144.94222741490566,81.54408264404154,0.897653994322317,16.23675,1.1192810000000009
46.14313472867279,26.008381600310248,0.20834386281829362,16.178165,0.9369420000000002
104.57164712010729,83.75617028660753,0.5830715802282543,16.250982,0.8936420000000016
124.27707631258758,86.60899099183652,1.0860743605384937,16.730125,1.5091389999999993
225.75613714342566,3.8269907071111064,1.6074715166637317,16.553377,1.6598690000000005
221.7713106912516,3.493459452617306,0.6684920909290228,16.692923,0.9434059999999995
225.35494957627682,7.7610117321108,0.70731413933457,16.362888,1.2742820000000012
233.83035628878363,8.39613085454386,0.7087368361531545,16.649105,1.025699999999997
229.73208880715114,9.224866846159543,0.4609908637685741,16.094376,0.8850100000000012
229.4129497675751,11.001097046503787,2.9188129586634264,16.89586,2.3962889999999994
49.79474050524048,25.853881652796147,0.5812318055235539,16.730927,1.088978000000001
53.036612351622225,27.149482937741972,2.1360457814871467,16.92874,1.2289659999999998
223.11969303777235,12.430630292758096,1.3135473282337233,16.711195,1.6061240000000012
223.21324740558552,14.655876375359314,0.7037971665151692,16.977749,1.1419490000000003
236.75065407523638,10.98482328552323,0.6377519102981927,16.966703,1.1439970000000024
240.5760081243428,14.651014148983869,0.48503288616887846,16.49136,0.971206500000001
232.25461762652762,14.092718166356276,0.4674855269224294,16.965641,1.0208580000000005
236.42719247127408,19.148395735179356,0.2959800848126534,16.305893,1.0976649999999992
244.7523406965379,17.260720246194293,0.21293076225588464,16.592907,0.8255429999999997
243.97369960615424,21.246874691379674,1.3685223795345622,16.025192,1.4144339999999982
242.9128331450849,20.544828611519094,4.460606490124324,16.72083,2.6875860000000014
232.08953267067687,16.49400898036572,1.9239182964713686,16.758419,1.975951000000002
228.1402669636633,18.614640743619724,0.8150935331240371,16.284622,1.025701999999999
230.18489104450575,23.420010084703915,1.3511294427257698,16.83302,1.848775999999999
240.90298480124787,23.945539291504844,0.48997519891762337,16.80988,0.962812999999997
233.1628782207428,25.640728992449446,0.927928549961559,16.037363,1.1687220000000007
49.38435802437545,30.743806081972313,0.001714543634691843,16.595451,1.5050469999999994
212.17438674293095,13.931019147183058,0.25102713806038,16.458364,0.8630520000000015
218.52012694770184,16.443095232692958,0.8669417793062163,16.699507,1.395226000000001
215.82816946341123,18.83702183007694,-0.0415351513837653,16.709356,1.089614000000001
207.13989614398213,17.785882360321622,0.920766466039676,16.242672,1.0686029999999995
204.5905362876094,20.21624947762301,0.8497388827428315,16.350431,1.2271249999999991
214.7782068324443,23.256669337224885,0.7330210708537215,16.101088,0.8786480000000001
